,Year,Average_Temp,State
15,2005,49.3,Utah
16,2006,49.2,Utah
17,2007,49.9,Utah
18,2008,48.1,Utah
19,2009,48.4,Utah
20,2010,48.3,Utah
21,2011,47.6,Utah
22,2012,50.9,Utah
23,2013,47.8,Utah
24,2014,50.4,Utah
25,2015,50.7,Utah
26,2016,50.2,Utah
27,2017,50.7,Utah
28,2018,50.4,Utah
29,2019,47.9,Utah
30,2020,50.4,Utah
0,1990,44.0,Vermont
1,1991,43.5,Vermont
2,1992,40.6,Vermont
3,1993,41.2,Vermont
4,1994,41.3,Vermont
5,1995,42.3,Vermont
6,1996,42.0,Vermont
7,1997,41.1,Vermont
8,1998,45.2,Vermont
9,1999,44.3,Vermont
10,2000,41.8,Vermont
11,2001,43.8,Vermont
12,2002,43.6,Vermont
13,2003,41.5,Vermont
14,2004,41.8,Vermont
15,2005,43.4,Vermont
16,2006,45.1,Vermont
17,2007,42.2,Vermont
18,2008,43.0,Vermont
19,2009,42.3,Vermont
20,2010,44.9,Vermont
21,2011,44.3,Vermont
22,2012,45.8,Vermont
23,2013,43.2,Vermont
24,2014,42.0,Vermont
25,2015,42.6,Vermont
26,2016,44.6,Vermont
27,2017,43.8,Vermont
28,2018,43.2,Vermont
29,2019,41.9,Vermont
30,2020,44.8,Vermont
0,1990,57.4,Virginia
1,1991,57.0,Virginia
2,1992,54.4,Virginia
3,1993,55.1,Virginia
4,1994,55.3,Virginia
5,1995,55.0,Virginia
6,1996,54.0,Virginia
7,1997,54.5,Virginia
8,1998,57.4,Virginia
9,1999,56.3,Virginia
10,2000,54.9,Virginia
11,2001,55.8,Virginia
12,2002,56.6,Virginia
13,2003,55.0,Virginia
14,2004,55.9,Virginia
15,2005,55.9,Virginia
16,2006,56.6,Virginia
17,2007,56.8,Virginia
18,2008,55.7,Virginia
19,2009,55.2,Virginia
20,2010,55.9,Virginia
21,2011,57.0,Virginia
22,2012,57.6,Virginia
23,2013,55.1,Virginia
24,2014,54.4,Virginia
25,2015,56.5,Virginia
26,2016,57.1,Virginia
27,2017,57.3,Virginia
28,2018,56.6,Virginia
29,2019,57.5,Virginia
30,2020,57.4,Virginia
0,1990,47.3,Washington
1,1991,47.1,Washington
2,1992,48.6,Washington
3,1993,45.6,Washington
4,1994,47.9,Washington
5,1995,47.5,Washington
6,1996,45.6,Washington
7,1997,47.1,Washington
8,1998,48.6,Washington
9,1999,46.9,Washington
10,2000,46.2,Washington
11,2001,46.9,Washington
12,2002,46.9,Washington
13,2003,48.2,Washington
14,2004,48.4,Washington
15,2005,47.3,Washington
16,2006,47.5,Washington
17,2007,46.8,Washington
18,2008,45.8,Washington
19,2009,46.4,Washington
20,2010,47.1,Washington
21,2011,45.5,Washington
22,2012,47.1,Washington
23,2013,47.2,Washington
24,2014,48.4,Washington
25,2015,50.0,Washington
26,2016,48.6,Washington
27,2017,46.8,Washington
28,2018,48.0,Washington
29,2019,46.5,Washington
30,2020,48.1,Washington
0,1990,53.9,West Virginia
1,1991,53.8,West Virginia
2,1992,51.3,West Virginia
3,1993,51.9,West Virginia
4,1994,51.8,West Virginia
5,1995,51.6,West Virginia
6,1996,50.7,West Virginia
7,1997,51.0,West Virginia
8,1998,54.2,West Virginia
9,1999,53.0,West Virginia
10,2000,51.8,West Virginia
11,2001,52.7,West Virginia
12,2002,53.2,West Virginia
13,2003,51.6,West Virginia
14,2004,52.7,West Virginia
15,2005,52.8,West Virginia
16,2006,53.0,West Virginia
17,2007,53.3,West Virginia
18,2008,51.8,West Virginia
19,2009,51.7,West Virginia
20,2010,52.0,West Virginia
21,2011,53.5,West Virginia
22,2012,54.3,West Virginia
23,2013,51.8,West Virginia
24,2014,50.8,West Virginia
25,2015,53.1,West Virginia
26,2016,54.1,West Virginia
27,2017,54.0,West Virginia
28,2018,53.3,West Virginia
29,2019,54.2,West Virginia
30,2020,54.0,West Virginia
0,1990,44.5,Wisconsin
1,1991,43.7,Wisconsin
2,1992,42.7,Wisconsin
3,1993,41.7,Wisconsin
4,1994,43.0,Wisconsin
5,1995,42.8,Wisconsin
6,1996,40.5,Wisconsin
7,1997,42.6,Wisconsin
8,1998,47.3,Wisconsin
9,1999,45.4,Wisconsin
10,2000,43.9,Wisconsin
11,2001,45.3,Wisconsin
12,2002,44.6,Wisconsin
13,2003,43.2,Wisconsin
14,2004,43.5,Wisconsin
15,2005,45.1,Wisconsin
16,2006,46.0,Wisconsin
17,2007,44.7,Wisconsin
18,2008,41.8,Wisconsin
19,2009,42.4,Wisconsin
20,2010,45.5,Wisconsin
21,2011,44.1,Wisconsin
22,2012,47.4,Wisconsin
23,2013,41.8,Wisconsin
24,2014,40.2,Wisconsin
25,2015,44.8,Wisconsin
26,2016,46.2,Wisconsin
27,2017,44.7,Wisconsin
28,2018,43.2,Wisconsin
29,2019,42.1,Wisconsin
30,2020,44.8,Wisconsin
0,1990,41.8,Wyoming
1,1991,41.7,Wyoming
2,1992,42.5,Wyoming
3,1993,38.9,Wyoming
4,1994,42.9,Wyoming
5,1995,41.7,Wyoming
6,1996,41.0,Wyoming
7,1997,41.2,Wyoming
8,1998,42.5,Wyoming
9,1999,43.2,Wyoming
10,2000,42.5,Wyoming
11,2001,43.2,Wyoming
12,2002,41.4,Wyoming
13,2003,43.0,Wyoming
14,2004,42.4,Wyoming
15,2005,42.8,Wyoming
16,2006,43.2,Wyoming
17,2007,43.3,Wyoming
18,2008,40.7,Wyoming
19,2009,40.9,Wyoming
20,2010,42.0,Wyoming
21,2011,41.1,Wyoming
22,2012,44.8,Wyoming
23,2013,41.7,Wyoming
24,2014,42.1,Wyoming
25,2015,44.2,Wyoming
26,2016,43.9,Wyoming
27,2017,43.2,Wyoming
28,2018,42.4,Wyoming
29,2019,40.3,Wyoming
30,2020,42.8,Wyoming
0,1990,25.4,Alaska
1,1991,27.0,Alaska
2,1992,25.0,Alaska
3,1993,29.9,Alaska
4,1994,26.2,Alaska
5,1995,27.8,Alaska
6,1996,25.1,Alaska
7,1997,28.1,Alaska
8,1998,28.4,Alaska
9,1999,24.0,Alaska
10,2000,28.4,Alaska
11,2001,27.3,Alaska
12,2002,30.1,Alaska
13,2003,29.1,Alaska
14,2004,29.3,Alaska
15,2005,29.2,Alaska
16,2006,26.4,Alaska
17,2007,28.1,Alaska
18,2008,25.1,Alaska
19,2009,26.8,Alaska
20,2010,27.4,Alaska
21,2011,27.0,Alaska
22,2012,24.3,Alaska
23,2013,27.8,Alaska
24,2014,30.3,Alaska
25,2015,30.0,Alaska
26,2016,31.9,Alaska
27,2017,29.3,Alaska
28,2018,30.4,Alaska
29,2019,32.2,Alaska
30,2020,27.5,Alaska
