,YEAR,STATE,total energy generation,clean energy generation,clean_energy_percent
99,1991,WI,98713474.0,5304654.0,0.053737891951811965
100,1991,WV,146847470.0,2130770.0,0.01451008995932991
101,1991,WY,78596776.0,1471864.0,0.018726773220316316
102,1992,AK,10596848.0,1868830.0,0.1763571582795186
103,1992,AL,190468844.0,20577626.0,0.10803670336761219
104,1992,AR,79492202.0,6789860.0,0.08541542225739325
105,1992,AZ,141105454.0,13822444.0,0.09795825468234559
106,1992,CA,354310918.0,81962034.0,0.23132799424487394
107,1992,CO,66590980.0,3319332.0,0.04984657081184268
108,1992,CT,58422760.0,3528382.0,0.06039396290075991
110,1992,DE,13968570.0,,
111,1992,FL,287554286.0,6312744.0,0.021953225207709127
112,1992,GA,194716458.0,10970922.0,0.05634306474494313
113,1992,HI,19688922.0,1781950.0,0.0905052089697953
114,1992,IA,60993854.0,2039348.0,0.033435303170053825
115,1992,ID,14926008.0,13325192.0,0.8927498899906794
116,1992,IL,256092456.0,683404.0,0.0026685830995349584
117,1992,IN,202037128.0,1191894.0,0.0058993810286196505
118,1992,KS,64156986.0,19762.0,0.0003080256918552876
119,1992,KY,154702518.0,7534464.0,0.04870291768618789
120,1992,LA,146748248.0,1473486.0,0.010040910335093063
121,1992,MA,80175310.0,4088122.0,0.05098978725495418
122,1992,MD,82354718.0,4309026.0,0.05232275824197467
123,1992,ME,31367088.0,7843706.0,0.25006165698263094
124,1992,MI,190643878.0,2683742.0,0.014077252457065524
125,1992,MN,80517768.0,3175312.0,0.03943616519523989
126,1992,MO,113903346.0,2899212.0,0.02545326455993663
127,1992,MS,46269926.0,,
128,1992,MT,51799290.0,16541776.0,0.31934368212382835
129,1992,NC,179070510.0,11817688.0,0.06599460737560864
130,1992,ND,57533794.0,3397708.0,0.05905586549706769
131,1992,NE,44850996.0,2163762.0,0.04824334335852876
132,1992,NH,30234506.0,3115460.0,0.10304319177564866
133,1992,NJ,87328028.0,1576542.0,0.018053104325223054
134,1992,NM,56138876.0,538348.0,0.009589575680140086
135,1992,NV,46695086.0,6327326.0,0.1355030377286381
136,1992,NY,251897848.0,57526974.0,0.22837421779006226
137,1992,OH,275323456.0,1204556.0,0.004375057677613926
138,1992,OK,100012896.0,6423338.0,0.06422509753142235
139,1992,OR,84690748.0,63625738.0,0.7512714139683829
140,1992,PA,358811290.0,5822178.0,0.016226295443490645
141,1992,RI,9570410.0,147560.0,0.015418357207266982
142,1992,SC,148341018.0,5677522.0,0.03827344639093686
143,1992,SD,12492828.0,7224020.0,0.5782533786585391
144,1992,TN,155496224.0,19288856.0,0.12404710226275334
145,1992,TX,580584626.0,5958370.0,0.010262707163038107
146,1992,UT,66474278.0,1577506.0,0.023731073844833635
147,1992,VA,112704708.0,2369934.0,0.021027817223039164
148,1992,VT,9740284.0,1842996.0,0.1892137847315335
149,1992,WA,172964858.0,136994938.0,0.7920391435814089
150,1992,WI,97786802.0,5127860.0,0.05243918294822649
151,1992,WV,150319828.0,2542126.0,0.01691144830208294
152,1992,WY,84947788.0,1271280.0,0.014965427940277855
153,1993,AK,11442554.0,2636828.0,0.23044051179483183
154,1993,AL,198673992.0,18073186.0,0.09096905849659476
155,1993,AR,80997308.0,9077798.0,0.11207530502124836
156,1993,AZ,136937972.0,14046142.0,0.10257302481447586
157,1993,CA,373981284.0,124120870.0,0.33189059268538157
158,1993,CO,68480366.0,4038070.0,0.058966828535933935
159,1993,CT,65769142.0,3612110.0,0.05492104488758573
161,1993,DE,18035360.0,,
162,1993,FL,303868312.0,6615470.0,0.0217708452601007
163,1993,GA,202895142.0,9828978.0,0.04844363400282891
164,1993,HI,19887374.0,2014984.0,0.10131976197561327
165,1993,IA,64098026.0,1552892.0,0.024226830323916683
166,1993,ID,21066866.0,19451450.0,0.9233195863115092
167,1993,IL,286906182.0,762456.0,0.0026575098336500814
168,1993,IN,207270276.0,961708.0,0.004639874170862782
169,1993,KS,73485134.0,10086.0,0.0001372522502306385
170,1993,KY,169995436.0,6310226.0,0.03711997303268777
