,year,coal,naturalGas,nuclear,petroleum,State
26,1994,1.81,4.72,0.62,6.71,NJ
27,1993,1.75,4.66,0.58,6.61,NJ
28,1992,1.72,4.65,0.56,6.93,NJ
29,1991,1.76,4.71,0.61,7.06,NJ
30,1990,1.78,4.92,0.61,7.44,NJ
31,1989,1.75,5.03,0.66,6.44,NJ
32,1988,1.71,4.97,0.68,5.89,NJ
33,1987,1.75,5.04,0.81,5.89,NJ
34,1986,1.79,5.86,0.73,5.6,NJ
35,1985,1.91,6.18,0.71,7.51,NJ
36,1984,1.95,6.02,0.79,7.4,NJ
37,1983,1.95,5.93,0.7,7.5,NJ
38,1982,2.13,5.87,0.57,8.02,NJ
39,1981,2.06,5.01,0.33,8.54,NJ
40,1980,1.8,4.15,0.34,7.24,NJ
41,1979,1.67,3.71,0.32,5.13,NJ
42,1978,1.56,3.35,0.34,3.72,NJ
43,1977,1.45,3.02,0.29,3.64,NJ
44,1976,1.45,2.69,0.17,3.37,NJ
45,1975,1.58,2.29,0.18,3.33,NJ
46,1974,1.34,1.79,0.2,3.03,NJ
47,1973,0.67,1.52,0.15,1.76,NJ
48,1972,0.65,1.46,0.16,1.58,NJ
49,1971,0.56,1.35,0.15,1.6,NJ
50,1970,0.45,1.28,0.2,1.45,NJ
0,2020,2.55,3.27,0.0,,NM
1,2019,2.49,3.02,0.0,20.43,NM
2,2018,2.49,4.03,0.0,21.64,NM
3,2017,1.97,5.21,0.0,18.95,NM
4,2016,1.9,4.47,0.0,16.75,NM
5,2015,2.35,4.89,0.0,19.13,NM
6,2014,3.77,6.49,0.0,26.91,NM
7,2013,2.31,5.83,0.0,27.9,NM
8,2012,2.18,5.15,0.0,28.49,NM
9,2011,2.05,6.27,0.0,28.06,NM
10,2010,2.06,6.54,0.0,22.22,NM
11,2009,1.9,6.19,0.0,18.76,NM
12,2008,2.0,9.51,0.0,25.57,NM
13,2007,1.79,8.41,0.0,20.79,NM
14,2006,1.56,8.93,0.0,19.37,NM
15,2005,1.51,9.13,0.0,17.18,NM
16,2004,1.48,7.55,0.0,13.23,NM
17,2003,1.42,6.46,0.0,11.07,NM
18,2002,1.53,4.57,0.0,9.7,NM
19,2001,1.47,5.59,0.0,10.54,NM
20,2000,1.38,4.9,0.0,10.6,NM
21,1999,1.33,3.53,0.0,8.2,NM
22,1998,1.31,3.67,0.0,7.63,NM
23,1997,1.34,4.04,0.0,9.01,NM
24,1996,1.43,3.23,0.0,9.02,NM
25,1995,1.42,3.23,0.0,7.87,NM
26,1994,1.41,3.86,0.0,7.97,NM
27,1993,1.37,3.91,0.0,8.0,NM
28,1992,1.32,3.67,0.0,7.57,NM
29,1991,1.38,3.62,0.0,7.75,NM
30,1990,1.32,3.84,0.0,8.31,NM
31,1989,1.24,3.61,0.0,7.22,NM
32,1988,1.18,3.44,0.0,6.5,NM
33,1987,1.21,3.68,0.0,6.56,NM
34,1986,1.14,4.24,0.0,6.26,NM
35,1985,1.09,4.6,0.0,7.94,NM
36,1984,0.94,4.47,0.0,7.79,NM
37,1983,0.84,4.36,0.0,7.69,NM
38,1982,0.8,3.84,0.0,8.88,NM
39,1981,0.71,3.06,0.0,9.22,NM
40,1980,0.56,2.66,0.0,7.87,NM
41,1979,0.49,2.19,0.0,5.4,NM
42,1978,0.43,1.8,0.0,4.15,NM
43,1977,0.3,1.54,0.0,3.89,NM
44,1976,0.26,0.94,0.0,3.62,NM
45,1975,0.23,0.75,0.0,3.44,NM
46,1974,0.19,0.62,0.0,3.11,NM
47,1973,0.16,0.45,0.0,2.16,NM
48,1972,0.15,0.45,0.0,1.99,NM
49,1971,0.15,0.44,0.0,2.03,NM
50,1970,0.14,0.39,0.0,1.93,NM
0,2020,3.21,7.14,0.64,,NY
1,2019,3.02,7.77,0.67,19.72,NY
2,2018,3.69,7.89,0.71,20.82,NY
3,2017,3.53,7.42,0.74,17.96,NY
4,2016,2.96,6.24,0.69,15.66,NY
5,2015,3.38,6.94,0.72,18.22,NY
6,2014,3.38,8.53,0.76,25.85,NY
7,2013,3.44,8.22,0.8,26.76,NY
8,2012,3.65,7.5,0.74,27.51,NY
9,2011,3.58,9.1,0.68,26.41,NY
10,2010,3.24,9.7,0.64,20.49,NY
11,2009,2.89,10.2,0.56,17.23,NY
12,2008,2.7,13.2,0.48,24.15,NY
13,2007,2.47,11.57,0.46,19.12,NY
14,2006,2.46,11.22,0.49,17.75,NY
15,2005,2.15,11.87,0.44,14.56,NY
16,2004,1.78,9.75,0.44,11.65,NY
17,2003,1.62,8.82,0.41,10.13,NY
18,2002,1.59,6.54,0.4,8.91,NY
19,2001,1.47,8.24,0.41,9.23,NY
20,2000,1.52,7.18,0.48,10.0,NY
21,1999,1.46,5.28,0.51,7.46,NY
22,1998,1.44,5.52,0.51,6.75,NY
23,1997,1.49,5.9,0.47,8.12,NY
24,1996,1.49,6.02,0.53,8.06,NY
25,1995,1.49,5.04,0.54,7.71,NY
26,1994,1.52,5.81,0.53,7.29,NY
27,1993,1.55,5.78,0.57,7.14,NY
28,1992,1.55,5.34,0.45,7.2,NY
29,1991,1.64,5.12,0.55,7.18,NY
30,1990,1.65,5.23,0.65,7.14,NY
31,1989,1.62,5.38,0.65,6.01,NY
32,1988,1.61,5.09,0.57,5.4,NY
33,1987,1.6,5.06,0.63,5.7,NY
34,1986,1.7,5.65,0.61,5.4,NY
35,1985,1.8,5.94,0.67,7.4,NY
36,1984,1.88,6.1,0.64,7.39,NY
37,1983,1.88,6.38,0.56,7.44,NY
38,1982,2.05,5.46,0.6,7.86,NY
39,1981,1.97,4.67,0.56,8.3,NY
40,1980,1.77,4.1,0.56,6.93,NY
41,1979,1.68,3.51,0.47,4.89,NY
42,1978,1.61,3.25,0.39,3.45,NY
43,1977,1.52,2.9,0.36,3.35,NY
44,1976,1.56,2.47,0.35,3.07,NY
45,1975,1.52,2.16,0.31,2.96,NY
46,1974,1.29,1.64,0.33,2.8,NY
47,1973,0.66,1.34,0.25,1.7,NY
48,1972,0.61,1.28,0.26,1.51,NY
49,1971,0.6,1.16,0.23,1.45,NY
50,1970,0.51,1.07,0.2,1.36,NY
0,2020,2.6,5.45,0.6,,NC
1,2019,2.85,5.64,0.6,20.0,NC
2,2018,3.18,5.99,0.62,21.25,NC
3,2017,3.01,6.01,0.67,18.84,NC
4,2016,3.14,5.3,0.63,16.89,NC
5,2015,3.51,6.18,0.63,19.06,NC
6,2014,3.6,7.69,0.66,26.89,NC
7,2013,3.81,6.98,0.65,27.77,NC
8,2012,3.79,6.69,0.59,28.2,NC
9,2011,3.65,8.38,0.58,27.88,NC
10,2010,3.54,9.12,0.53,21.87,NC
11,2009,3.62,10.43,0.5,18.58,NC
12,2008,3.28,13.23,0.43,25.89,NC
13,2007,2.75,11.29,0.41,20.81,NC
14,2006,2.7,12.36,0.43,19.19,NC
15,2005,2.41,12.2,0.41,16.75,NC
16,2004,2.01,9.11,0.42,13.17,NC
17,2003,1.79,8.25,0.43,11.08,NC
18,2002,1.76,6.07,0.44,9.69,NC
19,2001,1.6,8.56,0.43,10.1,NC
20,2000,1.44,6.69,0.3,10.59,NC
21,1999,1.45,5.15,0.44,7.87,NC
22,1998,1.46,5.3,0.45,7.28,NC
23,1997,1.45,5.93,0.47,8.5,NC
24,1996,1.51,5.42,0.47,8.43,NC
25,1995,1.64,4.53,0.51,7.76,NC
26,1994,1.69,4.84,0.49,7.75,NC
27,1993,1.7,4.79,0.48,7.7,NC
28,1992,1.73,4.28,0.51,7.89,NC
29,1991,1.77,4.08,0.52,8.3,NC
30,1990,1.78,4.19,0.54,8.5,NC
31,1989,1.77,4.56,0.55,7.16,NC
32,1988,1.77,4.46,0.59,6.4,NC
33,1987,1.79,4.66,0.56,6.55,NC
34,1986,1.85,4.77,0.53,6.16,NC
35,1985,1.97,5.29,0.54,8.12,NC
36,1984,1.95,5.59,0.58,8.01,NC
37,1983,1.88,5.5,0.44,8.21,NC
38,1982,1.89,4.85,0.41,9.29,NC
39,1981,1.74,4.59,0.37,9.64,NC
40,1980,1.58,3.55,0.36,8.16,NC
41,1979,1.47,2.91,0.37,5.63,NC
42,1978,1.41,2.58,0.43,4.23,NC
43,1977,1.26,2.7,0.47,4.0,NC
44,1976,1.12,1.88,0.32,3.82,NC
45,1975,1.12,1.57,0.29,3.69,NC
46,1974,1.1,1.07,0.0,3.29,NC
47,1973,0.5,0.87,0.0,2.18,NC
48,1972,0.46,0.81,0.0,1.98,NC
49,1971,0.47,0.74,0.0,2.02,NC
50,1970,0.43,0.69,0.0,1.94,NC
0,2020,1.55,3.29,0.0,,ND
1,2019,1.57,3.84,0.0,20.29,ND
2,2018,1.48,4.19,0.0,21.49,ND
3,2017,1.51,4.36,0.0,18.39,ND
4,2016,1.62,3.64,0.0,16.24,ND
5,2015,1.66,4.96,0.0,18.68,ND
6,2014,1.55,6.33,0.0,26.44,ND
7,2013,1.52,5.15,0.0,27.14,ND
8,2012,1.48,5.16,0.0,27.97,ND
9,2011,1.43,5.8,0.0,27.19,ND
10,2010,1.22,6.04,0.0,21.4,ND
11,2009,1.13,6.55,0.0,18.02,ND
12,2008,1.05,8.83,0.0,25.56,ND
13,2007,0.96,7.57,0.0,21.02,ND
14,2006,0.88,8.38,0.0,18.05,ND
15,2005,0.82,10.0,0.0,15.98,ND
16,2004,0.78,7.28,0.0,12.65,ND
17,2003,0.75,5.85,0.0,10.85,ND
18,2002,0.74,4.6,0.0,9.49,ND
19,2001,0.73,6.24,0.0,10.22,ND
20,2000,0.73,5.17,0.0,10.61,ND
21,1999,0.73,3.81,0.0,7.61,ND
22,1998,0.76,3.68,0.0,7.13,ND
23,1997,0.77,3.73,0.0,8.05,ND
24,1996,0.74,3.77,0.0,8.49,ND
25,1995,0.75,3.81,0.0,7.62,ND
26,1994,0.71,4.29,0.0,7.4,ND
27,1993,0.71,4.41,0.0,7.61,ND
28,1992,0.72,4.24,0.0,7.34,ND
29,1991,0.71,4.15,0.0,7.86,ND
30,1990,0.67,4.12,0.0,8.14,ND
31,1989,0.69,4.07,0.0,7.0,ND
32,1988,0.68,4.34,0.0,6.48,ND
33,1987,0.74,4.65,0.0,6.34,ND
34,1986,0.79,4.73,0.0,5.96,ND
35,1985,0.82,4.97,0.0,7.91,ND
36,1984,0.93,5.52,0.0,7.92,ND
37,1983,0.93,5.04,0.0,7.9,ND
38,1982,0.92,4.24,0.0,8.54,ND
39,1981,0.78,3.81,0.0,8.86,ND
40,1980,0.68,3.41,0.0,7.78,ND
41,1979,0.57,2.66,0.0,5.64,ND
42,1978,0.51,2.12,0.0,4.33,ND
43,1977,0.5,1.86,0.0,4.18,ND
44,1976,0.4,1.53,0.0,3.86,ND
45,1975,0.42,1.26,0.0,3.58,ND
46,1974,0.27,1.03,0.0,3.16,ND
47,1973,0.21,0.93,0.0,2.22,ND
48,1972,0.33,0.88,0.0,1.81,ND
49,1971,0.32,0.85,0.0,1.92,ND
50,1970,0.35,0.78,0.0,1.84,ND
0,2020,2.25,5.08,0.64,,OH
1,2019,2.39,5.51,0.67,20.61,OH
2,2018,2.16,5.83,0.72,21.27,OH
3,2017,2.19,6.2,0.74,18.96,OH
4,2016,2.27,5.24,0.68,16.94,OH
5,2015,2.4,5.8,0.72,19.11,OH
6,2014,2.43,7.33,0.77,27.02,OH
7,2013,2.58,6.6,0.8,27.6,OH
8,2012,2.89,6.42,0.75,27.92,OH
9,2011,2.77,8.08,0.69,27.42,OH
10,2010,2.5,8.72,0.65,21.54,OH
11,2009,2.58,10.1,0.56,18.0,OH
12,2008,2.21,12.88,0.48,24.79,OH
13,2007,1.84,11.41,0.41,20.58,OH
14,2006,1.82,12.33,0.39,18.86,OH
15,2005,1.63,11.49,0.37,16.64,OH
16,2004,1.39,9.11,0.39,13.04,OH
17,2003,1.25,8.2,0.4,11.12,OH
18,2002,1.23,6.31,0.41,9.68,OH
19,2001,1.34,7.96,0.41,10.14,OH
20,2000,1.46,6.29,0.46,10.73,OH
21,1999,1.38,4.99,0.48,8.31,OH
22,1998,1.38,5.24,0.55,7.76,OH
23,1997,1.34,5.69,0.66,8.68,OH
24,1996,1.36,4.94,0.87,8.85,OH
25,1995,1.43,4.59,1.0,8.26,OH
26,1994,1.45,5.06,1.06,8.12,OH
27,1993,1.43,5.04,1.07,8.15,OH
28,1992,1.46,4.55,1.12,8.09,OH
29,1991,1.49,4.53,1.14,8.42,OH
30,1990,1.54,4.54,1.24,8.57,OH
31,1989,1.51,4.65,1.32,7.48,OH
32,1988,1.53,4.55,1.33,6.96,OH
33,1987,1.56,4.7,0.73,6.93,OH
34,1986,1.66,5.11,0.72,6.62,OH
35,1985,1.71,5.32,1.09,8.74,OH
36,1984,1.73,5.44,0.67,8.53,OH
37,1983,1.74,5.5,0.61,8.63,OH
38,1982,1.8,4.56,0.53,9.01,OH
39,1981,1.76,3.64,0.44,9.11,OH
40,1980,1.56,3.27,0.28,7.8,OH
41,1979,1.44,2.53,0.25,5.66,OH
42,1978,1.37,2.19,0.27,4.23,OH
43,1977,1.16,2.03,0.19,4.13,OH
44,1976,1.11,1.56,0.0,3.89,OH
45,1975,1.14,1.3,0.0,3.83,OH
46,1974,1.0,1.01,0.0,3.6,OH
47,1973,0.5,0.88,0.0,2.37,OH
48,1972,0.45,0.84,0.0,2.3,OH
49,1971,0.4,0.79,0.0,2.3,OH
50,1970,0.36,0.74,0.0,2.2,OH
0,2020,1.77,3.2,0.0,,OK
1,2019,1.85,3.48,0.0,19.72,OK
2,2018,1.84,3.71,0.0,20.66,OK
3,2017,1.89,4.37,0.0,17.9,OK
4,2016,1.97,3.79,0.0,15.95,OK
5,2015,2.02,5.44,0.0,18.31,OK
6,2014,2.02,6.94,0.0,25.75,OK
7,2013,2.07,5.9,0.0,26.61,OK
8,2012,2.01,5.3,0.0,26.97,OK
9,2011,1.8,6.27,0.0,26.57,OK
10,2010,1.76,6.73,0.0,20.81,OK
11,2009,1.7,7.52,0.0,17.25,OK
12,2008,1.35,10.1,0.0,25.0,OK
13,2007,1.2,8.09,0.0,20.25,OK
14,2006,1.13,8.29,0.0,18.37,OK
15,2005,1.04,8.98,0.0,16.11,OK
16,2004,1.05,7.54,0.0,12.32,OK
17,2003,1.0,6.7,0.0,10.31,OK
18,2002,0.95,5.17,0.0,8.96,OK
19,2001,0.92,6.67,0.0,9.43,OK
20,2000,0.97,5.31,0.0,10.18,OK
21,1999,0.93,3.62,0.0,7.8,OK
22,1998,0.93,3.6,0.0,6.97,OK
23,1997,0.95,4.19,0.0,8.29,OK
24,1996,0.99,3.63,0.0,8.35,OK
25,1995,1.03,2.93,0.0,7.54,OK
26,1994,1.04,3.0,0.0,7.18,OK
27,1993,1.25,3.17,0.0,7.3,OK
28,1992,1.24,3.02,0.0,7.18,OK
29,1991,1.32,2.78,0.0,7.62,OK
30,1990,1.4,2.8,0.0,8.06,OK
31,1989,1.36,2.86,0.0,6.85,OK
32,1988,1.48,2.8,0.0,6.32,OK
33,1987,1.58,2.76,0.0,6.54,OK
34,1986,1.65,3.11,0.0,6.12,OK
35,1985,1.69,3.41,0.0,7.81,OK
36,1984,1.73,3.28,0.0,7.87,OK
37,1983,1.74,3.05,0.0,7.93,OK
38,1982,1.66,2.66,0.0,8.92,OK
39,1981,1.46,2.27,0.0,9.29,OK
40,1980,1.24,1.96,0.0,8.17,OK
41,1979,1.22,1.84,0.0,5.81,OK
42,1978,1.14,1.52,0.0,4.38,OK
43,1977,1.14,1.38,0.0,4.17,OK
44,1976,1.31,1.06,0.0,3.83,OK
45,1975,0.96,0.75,0.0,3.59,OK
46,1974,0.81,0.53,0.0,3.22,OK
47,1973,0.36,0.42,0.0,2.26,OK
48,1972,0.5,0.38,0.0,2.0,OK
49,1971,0.66,0.36,0.0,2.04,OK
50,1970,0.65,0.35,0.0,2.02,OK
0,2020,2.23,4.64,0.0,,OR
1,2019,2.32,4.5,0.0,24.03,OR
2,2018,2.43,4.77,0.0,24.29,OR
3,2017,2.37,5.3,0.0,20.85,OR
4,2016,2.25,5.33,0.0,18.48,OR
5,2015,2.46,5.94,0.0,21.24,OR
6,2014,2.55,6.73,0.0,27.54,OR
7,2013,2.01,6.23,0.0,28.32,OR
8,2012,1.97,6.2,0.0,29.22,OR
9,2011,1.84,7.45,0.0,27.98,OR
10,2010,1.71,7.09,0.0,22.36,OR
11,2009,1.8,8.21,0.0,18.82,OR
12,2008,1.49,9.09,0.0,25.92,OR
13,2007,1.42,8.97,0.0,21.01,OR
14,2006,1.37,9.26,0.0,19.12,OR
15,2005,1.28,8.32,0.0,16.77,OR
16,2004,1.21,6.93,0.0,13.62,OR
17,2003,1.27,6.27,0.0,11.49,OR
18,2002,1.34,6.63,0.0,9.76,OR
19,2001,1.11,5.96,0.0,10.76,OR
20,2000,1.07,4.94,0.0,11.07,OR
21,1999,1.08,4.1,0.0,8.72,OR
22,1998,1.11,3.73,0.0,7.46,OR
23,1997,1.27,3.49,0.0,8.97,OR
24,1996,1.17,3.63,0.0,9.13,OR
25,1995,1.25,3.93,0.0,8.28,OR
26,1994,1.15,4.11,0.0,8.02,OR
27,1993,1.2,4.12,0.0,8.08,OR
28,1992,1.18,3.84,0.53,7.67,OR
29,1991,1.17,3.99,0.43,7.55,OR
30,1990,1.22,4.28,0.44,7.9,OR
31,1989,1.76,4.17,0.46,6.99,OR
32,1988,2.42,4.8,0.46,6.16,OR
33,1987,2.43,4.55,0.45,6.1,OR
34,1986,2.42,4.94,0.52,5.89,OR
35,1985,2.16,5.6,0.54,7.77,OR
36,1984,2.15,5.8,0.58,7.68,OR
37,1983,1.99,5.93,0.64,7.81,OR
38,1982,1.96,5.91,0.61,8.41,OR
39,1981,1.76,4.92,0.47,8.74,OR
40,1980,1.71,4.69,0.36,7.84,OR
41,1979,2.07,3.22,0.3,5.52,OR
42,1978,1.71,2.87,0.19,4.1,OR
43,1977,1.52,2.38,0.22,3.87,OR
44,1976,1.36,2.03,0.21,3.62,OR
45,1975,1.04,1.44,0.2,3.48,OR
46,1974,0.74,1.22,0.0,3.11,OR
47,1973,0.62,0.98,0.0,2.08,OR
48,1972,0.59,0.94,0.0,1.86,OR
49,1971,0.53,0.87,0.0,1.91,OR
50,1970,0.59,0.81,0.0,1.88,OR
0,2020,2.41,4.75,0.64,,PA
1,2019,2.68,5.85,0.68,21.48,PA
2,2018,2.63,6.55,0.73,22.64,PA
3,2017,2.35,6.09,0.74,20.14,PA
4,2016,2.23,5.26,0.68,17.56,PA
5,2015,2.65,6.38,0.71,19.98,PA
6,2014,2.89,8.19,0.78,27.76,PA
7,2013,2.98,7.63,0.82,28.52,PA
8,2012,3.0,7.09,0.75,29.27,PA
9,2011,3.04,8.51,0.69,28.43,PA
10,2010,2.75,8.73,0.65,22.41,PA
11,2009,2.56,9.75,0.57,18.97,PA
12,2008,2.41,13.09,0.47,25.77,PA
13,2007,1.98,11.45,0.44,20.79,PA
14,2006,1.94,12.89,0.4,19.07,PA
15,2005,1.79,12.19,0.37,16.24,PA
16,2004,1.52,10.03,0.36,12.88,PA
17,2003,1.33,9.06,0.38,10.93,PA
18,2002,1.36,7.37,0.4,9.52,PA
19,2001,1.31,9.33,0.37,9.9,PA
20,2000,1.23,6.81,0.48,10.58,PA
21,1999,1.34,6.11,0.51,8.12,PA
22,1998,1.38,6.17,0.53,7.37,PA
23,1997,1.42,6.43,0.52,8.63,PA
24,1996,1.44,5.71,0.55,8.6,PA
25,1995,1.43,5.35,0.56,7.96,PA
26,1994,1.49,5.65,0.62,7.62,PA
27,1993,1.49,5.27,0.66,7.59,PA
28,1992,1.53,5.18,0.68,7.88,PA
29,1991,1.57,5.36,0.77,8.03,PA
30,1990,1.56,5.28,0.83,8.02,PA
31,1989,1.49,4.93,0.88,6.68,PA
32,1988,1.49,4.7,0.84,6.11,PA
33,1987,1.48,4.84,0.78,6.17,PA
34,1986,1.54,5.38,0.78,5.94,PA
35,1985,1.63,5.74,0.92,8.08,PA
36,1984,1.7,5.74,0.88,8.08,PA
37,1983,1.65,5.68,0.89,8.08,PA
38,1982,1.78,4.85,0.67,8.67,PA
39,1981,1.78,4.02,0.53,8.98,PA
40,1980,1.58,3.37,0.42,7.73,PA
41,1979,1.45,2.81,0.32,5.42,PA
42,1978,1.46,2.31,0.27,3.87,PA
43,1977,1.25,2.2,0.26,3.84,PA
44,1976,1.24,1.72,0.24,3.56,PA
45,1975,1.2,1.53,0.25,3.47,PA
46,1974,1.03,1.26,0.25,3.18,PA
47,1973,0.53,1.07,0.15,2.01,PA
48,1972,0.47,0.99,0.16,1.86,PA
49,1971,0.43,0.93,0.15,1.84,PA
50,1970,0.39,0.87,0.21,1.73,PA
0,2020,0.0,6.69,0.0,,RI
1,2019,0.0,7.57,0.0,21.26,RI
2,2018,0.0,8.02,0.0,22.31,RI
3,2017,0.0,7.02,0.0,19.57,RI
4,2016,0.0,6.94,0.0,17.43,RI
5,2015,0.0,7.46,0.0,19.72,RI
6,2014,0.0,9.68,0.0,27.71,RI
7,2013,0.0,8.67,0.0,28.49,RI
8,2012,0.0,6.88,0.0,29.41,RI
9,2011,0.0,8.02,0.0,28.06,RI
10,2010,0.0,8.92,0.0,22.29,RI
11,2009,0.0,8.96,0.0,18.66,RI
12,2008,0.0,12.34,0.0,24.9,RI
13,2007,3.75,10.76,0.0,21.62,RI
14,2006,3.68,11.17,0.0,19.78,RI
15,2005,3.3,11.28,0.0,16.68,RI
16,2004,2.66,9.42,0.0,13.35,RI
17,2003,2.52,8.46,0.0,11.51,RI
18,2002,2.62,6.68,0.0,10.08,RI
19,2001,2.28,6.11,0.0,10.64,RI
20,2000,2.23,6.11,0.0,11.17,RI
21,1999,2.52,4.59,0.0,8.47,RI
22,1998,2.49,4.6,0.0,7.93,RI
23,1997,2.71,4.9,0.0,9.09,RI
24,1996,2.53,4.07,0.0,9.07,RI
25,1995,2.49,4.15,0.0,8.32,RI
26,1994,2.51,4.63,0.0,7.83,RI
27,1993,2.62,4.75,0.0,7.86,RI
28,1992,2.87,4.41,0.0,7.71,RI
29,1991,2.93,4.81,0.0,8.49,RI
30,1990,2.9,5.49,0.0,8.25,RI
31,1989,2.64,6.21,0.0,7.17,RI
32,1988,2.53,5.94,0.0,6.36,RI
33,1987,2.64,5.49,0.0,6.4,RI
34,1986,2.59,6.77,0.0,6.0,RI
35,1985,2.62,6.66,0.0,7.65,RI
36,1984,2.74,6.39,0.0,7.9,RI
37,1983,2.46,7.09,0.0,8.15,RI
38,1982,2.6,7.0,0.0,8.49,RI
39,1981,2.33,5.77,0.0,8.96,RI
40,1980,1.92,5.09,0.0,7.59,RI
41,1979,1.78,3.22,0.0,5.53,RI
42,1978,2.07,3.67,0.0,3.83,RI
43,1977,2.27,3.64,0.0,3.59,RI
44,1976,1.97,3.02,0.0,3.29,RI
45,1975,2.64,2.74,0.0,3.17,RI
46,1974,1.41,2.16,0.0,2.89,RI
47,1973,1.46,2.01,0.0,1.73,RI
48,1972,1.23,1.79,0.0,1.55,RI
49,1971,0.99,1.46,0.0,1.52,RI
50,1970,0.94,1.38,0.0,1.41,RI
0,2020,3.15,4.34,0.61,,SC
1,2019,3.22,4.83,0.62,19.14,SC
2,2018,3.34,5.62,0.65,20.08,SC
3,2017,3.31,5.35,0.7,17.95,SC
4,2016,3.21,4.87,0.68,16.02,SC
5,2015,3.57,5.07,0.66,17.93,SC
6,2014,3.65,6.84,0.64,25.48,SC
7,2013,3.76,6.22,0.68,26.31,SC
8,2012,3.98,5.14,0.63,26.42,SC
9,2011,3.85,6.18,0.58,25.83,SC
10,2010,3.7,6.96,0.55,20.17,SC
11,2009,3.64,6.95,0.47,16.29,SC
12,2008,2.92,11.85,0.4,24.08,SC
13,2007,2.38,10.05,0.38,19.05,SC
14,2006,2.4,10.24,0.39,17.35,SC
15,2005,2.23,11.07,0.4,15.3,SC
16,2004,1.94,8.42,0.4,11.99,SC
17,2003,1.65,7.74,0.41,10.28,SC
18,2002,1.63,5.13,0.41,9.12,SC
19,2001,1.61,7.02,0.41,9.31,SC
20,2000,1.42,5.98,0.42,10.08,SC
21,1999,1.46,4.49,0.43,7.43,SC
22,1998,1.49,4.38,0.42,6.81,SC
23,1997,1.49,4.76,0.43,7.99,SC
24,1996,1.51,4.71,0.49,8.1,SC
25,1995,1.55,4.06,0.51,7.56,SC
26,1994,1.6,4.22,0.53,7.37,SC
27,1993,1.6,4.19,0.5,7.13,SC
28,1992,1.56,3.96,0.5,7.39,SC
29,1991,1.64,3.66,0.52,7.75,SC
30,1990,1.72,4.01,0.53,8.01,SC
31,1989,1.71,4.22,0.58,6.96,SC
32,1988,1.74,4.25,0.59,6.29,SC
33,1987,1.73,4.6,0.64,6.39,SC
34,1986,1.82,4.4,0.61,6.05,SC
35,1985,1.88,5.06,0.62,8.02,SC
36,1984,1.96,5.32,0.61,8.0,SC
37,1983,1.94,5.12,0.5,8.19,SC
38,1982,1.93,4.52,0.48,9.22,SC
39,1981,1.82,3.9,0.45,9.48,SC
40,1980,1.59,3.07,0.44,8.09,SC
41,1979,1.49,2.62,0.36,5.59,SC
42,1978,1.43,2.2,0.32,3.96,SC
43,1977,1.28,1.97,0.27,3.78,SC
44,1976,1.11,1.53,0.2,3.57,SC
45,1975,1.24,1.16,0.19,3.43,SC
46,1974,1.35,0.95,0.17,3.18,SC
47,1973,0.54,0.8,0.18,2.17,SC
48,1972,0.5,0.72,0.18,2.06,SC
49,1971,0.52,0.63,0.19,2.0,SC
50,1970,0.47,0.57,0.19,1.89,SC
0,2020,1.91,4.44,0.0,,SD
1,2019,1.84,4.72,0.0,20.31,SD
2,2018,1.91,5.05,0.0,21.5,SD
3,2017,2.21,5.34,0.0,18.7,SD
4,2016,2.27,4.86,0.0,16.48,SD
5,2015,2.26,5.48,0.0,18.93,SD
6,2014,2.17,7.07,0.0,26.89,SD
7,2013,2.08,6.04,0.0,27.44,SD
8,2012,2.25,5.87,0.0,27.98,SD
9,2011,2.15,6.77,0.0,27.52,SD
10,2010,1.99,6.63,0.0,21.56,SD
11,2009,1.81,6.96,0.0,18.12,SD
12,2008,1.8,9.57,0.0,24.77,SD
13,2007,1.66,8.91,0.0,20.71,SD
14,2006,1.6,9.86,0.0,18.47,SD
15,2005,1.49,9.84,0.0,15.97,SD
16,2004,1.42,7.92,0.0,12.95,SD
17,2003,1.38,7.11,0.0,10.9,SD
18,2002,1.28,5.53,0.0,9.66,SD
19,2001,1.04,7.13,0.0,10.45,SD
20,2000,1.06,6.11,0.0,10.58,SD
21,1999,1.04,4.65,0.0,7.63,SD
22,1998,1.01,4.37,0.0,7.24,SD
23,1997,0.99,4.79,0.0,8.59,SD
24,1996,1.04,4.39,0.0,8.43,SD
25,1995,1.08,4.17,0.0,7.61,SD
26,1994,1.12,4.57,0.0,7.5,SD
27,1993,1.07,4.6,0.0,7.59,SD
28,1992,1.2,4.44,0.0,7.49,SD
29,1991,1.11,4.21,0.0,7.7,SD
30,1990,1.22,4.41,0.0,8.1,SD
31,1989,1.31,4.12,0.0,7.31,SD
32,1988,1.27,4.18,0.0,6.23,SD
33,1987,1.41,4.27,0.0,6.3,SD
34,1986,1.37,4.62,0.0,6.11,SD
35,1985,1.37,5.01,0.0,8.08,SD
36,1984,1.31,5.53,0.0,8.1,SD
37,1983,1.27,5.08,0.0,8.26,SD
38,1982,1.25,4.35,0.0,8.89,SD
39,1981,1.06,3.55,0.0,9.38,SD
40,1980,0.84,2.83,0.0,8.19,SD
41,1979,0.69,2.39,0.0,5.92,SD
42,1978,0.68,1.86,0.0,4.43,SD
43,1977,0.64,1.5,0.0,4.32,SD
44,1976,0.59,1.18,0.0,3.97,SD
45,1975,0.53,1.04,0.0,3.77,SD
46,1974,0.6,1.05,0.0,3.41,SD
